zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
224767035,224767035,https://www.zillow.com/homedetails/2209-S-Bluestone-St-Stillwater-OK-74074/224767035_zpid/,"2209 S Bluestone St, Stillwater, OK 74074",2209 S Bluestone St,74074,3,4,3277,275000,36.09715,-97.07849
2067543858,2067543858,https://www.zillow.com/homedetails/251-W-Miller-Ave-103-Stillwater-OK-74075/2067543858_zpid/,"251 W Miller Ave #103, Stillwater, OK 74075",251 W Miller Ave #103,74075,4,4,1258,175000,36.12338,-97.06107
224765460,224765460,https://www.zillow.com/homedetails/914-S-West-St-Stillwater-OK-74074/224765460_zpid/,"914 S West St, Stillwater, OK 74074",914 S West St,74074,3,3,1248,110000,36.11168,-97.06444
86100405,86100405,https://www.zillow.com/homedetails/224-S-Abbey-Ln-Stillwater-OK-74074/86100405_zpid/,"224 S Abbey Ln, Stillwater, OK 74074",224 S Abbey Ln,74074,3,2,1473,199000,36.120735,-97.13175
86101959,86101959,https://www.zillow.com/homedetails/219-E-Rogers-Dr-Stillwater-OK-74075/86101959_zpid/,"219 E Rogers Dr, Stillwater, OK 74075",219 E Rogers Dr,74075,3,2,2208,205500,36.16661,-97.05704
86107176,86107176,https://www.zillow.com/homedetails/323-S-Terrill-Dr-Stillwater-OK-74075/86107176_zpid/,"323 S Terrill Dr, Stillwater, OK 74075",323 S Terrill Dr,74075,4,3,3397,264000,36.11892,-97.00985
86107515,86107515,https://www.zillow.com/homedetails/2612-S-Oxford-Dr-Stillwater-OK-74074/86107515_zpid/,"2612 S Oxford Dr, Stillwater, OK 74074",2612 S Oxford Dr,74074,4,2,2349,315000,36.09242,-97.09138
93370713,93370713,https://www.zillow.com/homedetails/6862-Oak-Forrest-Cir-Stillwater-OK-74074/93370713_zpid/,"6862 Oak Forrest Cir, Stillwater, OK 74074",6862 Oak Forrest Cir,74074,4,2,2128,100000,36.038776,-96.988716
224770449,224770449,https://www.zillow.com/homedetails/1516-W-13th-Ave-Stillwater-OK-74074/224770449_zpid/,"1516 W 13th Ave, Stillwater, OK 74074",1516 W 13th Ave,74074,3,2,1284,210000,36.107876,-97.07734
86100170,86100170,https://www.zillow.com/homedetails/43-Windsor-Cir-Stillwater-OK-74074/86100170_zpid/,"43 Windsor Cir, Stillwater, OK 74074",43 Windsor Cir,74074,3,2,1713,240000,36.1189,-97.13072
